Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB
Sean Manaea,SFG,117.2,93.6,,,93.2,86.6,82.3,,,,
Joey Wentz,DET,105.2,93.5,86.1,,,85.2,,77.6,,,
Nick Martinez,SDP,110.1,93.5,89.7,,93.2,80.9,84.7,82,,,
Miles Mikolas,STL,201.1,93.5,,,92.9,84.5,86.6,76,66.3,,
Zac Gallen,ARI,210,93.5,90.2,,,86.8,87.5,82.5,,,
Scott McGough,ARI,70.1,93.5,,85.7,,,86.7,,,,
Ken Waldichuk,OAK,141,93.5,,,,84.4,81.2,74.8,,,
Ranger Suárez,PHI,125,93.4,87.5,,92.9,83,81.4,75.8,,,
Matt Manning,DET,78,93.4,,,,87.7,82,79.6,,,
Chase Anderson,2 Tms,86.1,93.4,89.2,,93.1,84,80.8,77.7,,,
Adam Ottavino,NYM,61.2,93.4,88,,92.8,87.8,79.9,,,,
Jordan Montgomery,2 Tms,188.2,93.4,88.2,,93.3,83.5,,80.5,,,
Peter Lambert,COL,87.1,93.4,,,,86.4,86.4,78.2,,,
Adrian Houser,MIL,111.1,93.4,,84.3,92.1,,82.2,79.4,,,
Lucas Giolito,3 Tms,184.1,93.3,,,91.4,81.1,84.1,78.1,,,
Anthony DeSclafani,SFG,99.2,93.3,,,93.1,86.5,87.4,82.3,,,
Jack Flaherty,2 Tms,144.1,93.2,88.8,,90.2,85.3,84.3,76.3,,,
José Urquidy,HOU,63,93.2,,,93.8,86.2,80.8,79.7,,,
JP Sears,OAK,172.1,93.2,82.6,,92.2,84.2,81.5,,,,
Scott Barlow,2 Tms,68,93.2,,,93.3,,83.2,78.7,,,
Joe Musgrove,SDP,97.1,93.2,90.1,,92.8,87.1,82.2,81.4,,,
Chris Stratton,2 Tms,82.2,93.2,,,92.8,86.8,86.9,80.9,,,
Javier Assad,CHC,109.1,93.2,89.2,,92.8,85.2,80.7,76.6,,,
Colin Rea,MIL,124.2,93.1,86.7,85.9,92.6,,83.2,78.8,,,
Zach Eflin,TBR,177.2,93.1,88.7,,92.4,86.5,81.8,79.2,,,
Taijuan Walker,PHI,172.2,93.1,87.4,88.1,92.6,,84.2,75.1,,,
Yonny Chirinos,2 Tms,85,93.1,,85.1,92.5,89.4,89,,,,
Héctor Neris,HOU,68.1,93.1,,82.9,92.9,,86,,,,
J.P. France,HOU,136.1,93,86.9,,,81.7,80.1,76.1,,,
Patrick Sandoval,LAA,144.2,93,,,93.2,82.9,86.5,76.5,,,
Alex Faedo,DET,64.2,93,,,,86,82.4,,,,
Jaime Barria,LAA,82.1,92.9,,,92.2,84.5,85.8,,,,
Alek Manoah,TOR,87.1,92.9,82.5,,92.8,86.4,80.9,,,,
Jesse Scholtens,CHW,85,92.9,,85.6,,,85.6,74.2,,,
Carlos Carrasco,NYM,90,92.9,89.6,,91.9,87.4,84.4,80.3,,,
Aaron Nola,PHI,193.2,92.9,86.5,,91.8,86,,79.5,,,
David Peterson,NYM,111,92.9,,,91.7,85.4,85.5,78.8,,,
Julio Urías,LAD,117.1,92.9,87.2,,,86.2,,79.3,,,
